trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,14,11.590051062160512,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,5,-5.884030451991489,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,13,19.252077069143358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,0,-54.24059133097876,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,16,9.82805070620615,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,13,-2.0979184199960184,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,19,4.11227771612347,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,20,7.63746596863805,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,12,15.491717044193297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,0,27.404513457458712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",30,0,4.573367078519777,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,10,23.760245538470105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",30,20,-14.092101517302682,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,0,3.3648467513808384,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,8,13.500726627455391,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,6,22.38172538414308,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,9,5.932487985393674,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,12,14.028964661500398,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,12,22.955810937028037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,18,20.676483342251846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,6,13.743885088699942,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,14,19.570110933265248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,9,17.881377921398453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",25,18,13.031137791677283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",30,15,13.611098278379009,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,7,35.55895376534604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,12,14.570027152250688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,14,10.451263413859234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,3,36.71528307923652,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,20,10.271861659989844,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,28.748731815133088,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,13.443277565264678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,18,14.188900299276952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
